iter	RMSE
0	2.054929086
1	2.033488518
2	2.012590164
3	1.993430292
4	1.975518899
5	1.958091724
6	1.941540033
7	1.925725396
8	1.909512108
9	1.894395101
10	1.880270464
11	1.866685307
12	1.854450175
13	1.84170823
14	1.8295162
15	1.817939773
16	1.80702683
17	1.796855898
18	1.787473013
19	1.777952204
20	1.769009147
21	1.759946518
22	1.752305242
23	1.744472238
24	1.736820715
25	1.730322154
26	1.722833309
27	1.716493666
28	1.709495204
29	1.702801419
30	1.69704224
31	1.69214347
32	1.686400065
33	1.682237257
34	1.677175035
35	1.671868288
36	1.666911077
37	1.662580663
38	1.658301633
39	1.654641513
40	1.650907956
41	1.646737099
42	1.643384722
43	1.639153273
44	1.635635282
45	1.632461966
46	1.629267493
47	1.626159825
48	1.623976966
49	1.62167391
50	1.618833421
51	1.6166736
52	1.614602695
53	1.611890532
54	1.609688392
55	1.607824683
56	1.605848468
57	1.603370611
58	1.601530131
59	1.599463199
60	1.597950286
61	1.596536547
62	1.594661712
63	1.593119507
64	1.591305867
65	1.589829243
66	1.588634711
67	1.586964016
68	1.5854213
69	1.584136066
70	1.58235558
71	1.580922894
72	1.579681803
73	1.578378579
74	1.577520619
75	1.576102533
76	1.574948785
77	1.573881521
78	1.572752632
79	1.571375409
80	1.570324053
81	1.56912491
82	1.567946107
83	1.566925315
84	1.565882552
85	1.56524804
86	1.564403178
87	1.563221706
88	1.562395299
89	1.561496851
90	1.560050929
91	1.558880886
92	1.558186994
93	1.55732038
94	1.556740589
95	1.55611549
96	1.555310071
97	1.554615742
98	1.553795831
99	1.553146692
100	1.552411704
101	1.551915231
102	1.551285044
103	1.550688832
104	1.549992877
105	1.549271792
106	1.548595675
107	1.548015604
108	1.547604507
109	1.546709147
110	1.546063116
111	1.545540265
112	1.544685364
113	1.544328281
114	1.543827207
115	1.543179399
116	1.542601484
117	1.542092086
118	1.541707661
119	1.541294177
120	1.540701893
121	1.540180686
122	1.539566289
123	1.538973373
124	1.538457019
125	1.538045868
126	1.537520345
127	1.537204237
128	1.536858454
129	1.536188184
130	1.535548129
131	1.535298375
132	1.534885565
133	1.534275612
134	1.533736126
135	1.533217286
136	1.532766936
137	1.53210388
138	1.531856743
139	1.531213431
140	1.530576836
141	1.530173791
142	1.529750384
143	1.529206841
144	1.528496836
145	1.528162204
146	1.527794472
147	1.527550551
148	1.527314803
149	1.526905862
150	1.526260496
151	1.525712334
152	1.525233636
153	1.524963856
154	1.524357084
155	1.523974866
156	1.52356921
157	1.523132949
158	1.522801
159	1.522425256
160	1.521908249
161	1.521527958
162	1.521020732
163	1.520587887
164	1.520270806
165	1.520068177
166	1.519755809
167	1.519337151
168	1.518951542
169	1.518592586
170	1.518114085
171	1.51753671
172	1.517172792
173	1.516810912
174	1.516432393
175	1.516061692
176	1.515798352
177	1.515482467
178	1.515091046
179	1.514889385
180	1.514691797
181	1.514344995
182	1.513820132
183	1.513369909
184	1.513109486
185	1.51292921
186	1.51274491
187	1.512270889
188	1.511875599
189	1.511586952
190	1.511373484
191	1.511023924
192	1.510755764
193	1.510352943
194	1.510027595
195	1.509761222
196	1.509419593
197	1.508946358
198	1.508554107
199	1.508339144
200	1.508098356
201	1.507614161
202	1.507202194
203	1.506786237
204	1.506292849
205	1.506000288
206	1.50559929
207	1.505241684
208	1.504940366
209	1.504668809
210	1.50446238
211	1.503976873
212	1.503628863
213	1.503246571
214	1.502793077
215	1.50247162
216	1.502330907
217	1.50192446
218	1.501473368
219	1.501267624
220	1.500901195
221	1.500669853
222	1.500274095
223	1.500019731
224	1.499799217
225	1.499278043
226	1.499084394
227	1.49876497
228	1.498587864
229	1.498277714
230	1.497989533
231	1.49770428
232	1.497493729
233	1.497133913
234	1.4969167
235	1.496414592
236	1.496107548
237	1.49572452
238	1.495407625
239	1.495139841
240	1.494919045
241	1.49467365
242	1.494409712
243	1.494117012
244	1.493862484
245	1.493645854
246	1.493473336
247	1.493200815
248	1.49270635
249	1.4922816
250	1.491996516
251	1.491647531
252	1.491288601
253	1.490803693
254	1.490580245
255	1.490408568
256	1.490140307
257	1.4897705
258	1.489645157
259	1.489482471
260	1.489184444
261	1.488878247
262	1.488605635
263	1.488219328
264	1.487781238
265	1.487363752
266	1.487146553
267	1.486919931
268	1.486530706
269	1.486167319
270	1.485898431
271	1.485709931
272	1.485274298
273	1.485056437
274	1.484854884
275	1.484557005
276	1.484426183
277	1.484233142
278	1.483958768
279	1.483764431
280	1.483559485
281	1.4832688
282	1.482923652
283	1.482649531
284	1.482404108
285	1.482076697
286	1.481753961
287	1.481455296
288	1.481032983
289	1.480883749
290	1.480694659
291	1.480532709
292	1.480086977
293	1.479822863
294	1.479413425
295	1.479198115
296	1.478869498
297	1.478613708
298	1.478385024
299	1.478153577
