iter	Passed	Remaining
0	8	2602
1	14	2231
2	19	1961
3	25	1855
4	29	1764
5	34	1709
6	39	1673
7	45	1646
8	49	1613
9	56	1624
10	61	1620
11	67	1623
12	74	1634
13	79	1614
14	83	1595
15	90	1607
16	95	1593
17	100	1582
18	107	1584
19	112	1577
20	117	1562
21	123	1554
22	127	1537
23	133	1532
24	138	1524
25	143	1512
26	148	1506
27	155	1507
28	160	1499
29	166	1500
30	171	1492
31	177	1484
32	182	1477
33	188	1472
34	193	1461
35	198	1452
36	204	1450
37	209	1446
38	215	1440
39	220	1433
40	226	1429
41	232	1425
42	237	1418
43	244	1422
44	250	1420
45	256	1414
46	261	1409
47	268	1409
48	273	1402
49	279	1398
50	285	1394
51	291	1388
52	296	1383
53	303	1382
54	308	1376
55	314	1370
56	320	1365
57	325	1359
58	332	1357
59	337	1351
60	343	1344
61	349	1341
62	354	1334
63	360	1327
64	366	1325
65	372	1319
66	377	1314
67	383	1309
68	389	1305
69	395	1300
70	401	1294
71	407	1289
72	413	1284
73	419	1281
74	425	1275
75	430	1270
76	436	1265
77	442	1259
78	448	1254
79	454	1250
80	460	1243
81	466	1239
82	471	1233
83	477	1228
84	483	1223
85	490	1219
86	495	1213
87	502	1210
88	510	1211
89	517	1207
90	526	1209
91	533	1205
92	539	1200
93	545	1196
94	552	1192
95	559	1188
96	565	1182
97	572	1179
98	578	1174
99	584	1169
100	590	1164
101	596	1157
102	602	1151
103	609	1148
104	615	1143
105	622	1139
106	628	1132
107	633	1126
108	640	1122
109	646	1116
110	651	1108
111	659	1107
112	669	1108
113	682	1112
114	692	1114
115	705	1118
116	717	1122
117	730	1126
118	740	1126
119	755	1133
120	765	1132
121	776	1132
122	784	1129
123	793	1126
124	805	1127
125	815	1126
126	823	1121
127	830	1116
128	839	1112
129	847	1107
130	854	1102
131	862	1098
132	870	1093
133	879	1090
134	887	1084
135	896	1081
136	903	1075
137	912	1070
138	919	1065
139	929	1062
140	936	1056
141	944	1051
142	951	1044
143	960	1040
144	967	1034
145	974	1028
146	981	1021
147	989	1015
148	997	1010
149	1005	1005
150	1013	999
151	1019	992
152	1026	986
153	1034	980
154	1041	973
155	1048	967
156	1056	962
157	1063	955
158	1071	950
159	1078	943
160	1085	937
161	1092	930
162	1100	924
163	1106	917
164	1112	910
165	1119	903
166	1126	896
167	1132	889
168	1138	882
169	1144	875
170	1150	868
171	1156	860
172	1162	853
173	1168	846
174	1174	839
175	1180	831
176	1188	825
177	1194	818
178	1200	811
179	1206	804
180	1212	797
181	1219	790
182	1225	783
183	1232	776
184	1238	769
185	1244	762
186	1250	755
187	1256	748
188	1262	741
189	1269	734
190	1274	727
191	1281	720
192	1287	713
193	1294	707
194	1300	700
195	1307	693
196	1314	687
197	1319	679
198	1326	673
199	1332	666
200	1338	659
201	1345	652
202	1352	646
203	1358	639
204	1365	632
205	1371	626
206	1379	619
207	1385	612
208	1391	605
209	1397	598
210	1403	592
211	1410	585
212	1415	578
213	1422	571
214	1429	565
215	1435	558
216	1440	550
217	1446	544
218	1453	537
219	1460	530
220	1465	523
221	1471	516
222	1477	510
223	1484	503
224	1490	496
225	1496	489
226	1502	483
227	1508	476
228	1514	469
229	1520	462
230	1527	456
231	1532	449
232	1539	442
233	1544	435
234	1550	428
235	1557	422
236	1563	415
237	1568	408
238	1575	401
239	1581	395
240	1587	388
241	1593	381
242	1599	375
243	1606	368
244	1611	361
245	1615	354
246	1622	348
247	1627	341
248	1633	334
249	1640	328
250	1646	321
251	1653	314
252	1659	308
253	1664	301
254	1671	294
255	1676	288
256	1682	281
257	1688	274
258	1694	268
259	1700	261
260	1706	254
261	1711	248
262	1718	241
263	1724	235
264	1730	228
265	1737	222
266	1743	215
267	1750	208
268	1755	202
269	1760	195
270	1767	189
271	1773	182
272	1778	175
273	1784	169
274	1790	162
275	1795	156
276	1802	149
277	1808	143
278	1814	136
279	1820	130
280	1826	123
281	1833	117
282	1839	110
283	1846	104
284	1852	97
285	1858	90
286	1865	84
287	1871	77
288	1877	71
289	1883	64
290	1888	58
291	1895	51
292	1900	45
293	1906	38
294	1913	32
295	1918	25
296	1925	19
297	1931	12
298	1937	6
299	1944	0
